"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 25 18:10:05 CST 2021","Thu Feb 25 18:10:05 CST 2021","0","","test_file13","","","","test_broken",""
"failed","Thu Feb 25 18:10:05 CST 2021","Thu Feb 25 18:10:05 CST 2021","0","","test_file13","","","","test_failure",""
"passed","Thu Feb 25 18:10:05 CST 2021","Thu Feb 25 18:10:05 CST 2021","1","","test_file13","","","","test_success",""
"skipped","Thu Feb 25 18:10:05 CST 2021","Thu Feb 25 18:10:05 CST 2021","0","","test_file13","","","","test_skip",""
